enzymes (mmol/g_(dw)/hr),0 min,5 min,10 min,15 min,20 min
ATP maintenance requirement,,8.39,8.39,8.39,8.39
D-lactate dehydrogenase,,0.0,0.0,0.0,0.0
L-Malate exchange,,0.0,0.0,0.0,0.0
Phosphofructokinase,,7.477381962160285,7.477381962160285,7.477381962160285,7.477381962160285
6-phosphogluconolactonase,,4.95998494457465,4.95998494457465,4.95998494457465,4.95998494457465
H2O exchange,,29.175827135565854,29.175827135565854,29.175827135565854,29.175827135565854
Glutamate dehydrogenase (NADP),,-4.541857463865628,-4.541857463865628,-4.541857463865628,-4.541857463865628
Transaldolase,,1.4969837572615643,1.4969837572615643,1.4969837572615643,1.4969837572615643
H2O transport via diffusion,,-29.175827135565854,-29.175827135565854,-29.175827135565854,-29.175827135565854
ATP synthase (four protons for one ATP),,45.51400977451748,45.51400977451748,45.51400977451748,45.51400977451748
Succinate exchange,,0.0,0.0,0.0,0.0
O2 exchange,,-21.79949265599877,-21.79949265599877,-21.79949265599877,-21.79949265599877
Biomass Objective Function with GAM,,0.8739215069684301,0.8739215069684301,0.8739215069684301,0.8739215069684301
Isocitrate lyase,,0.0,0.0,0.0,0.0
Pyruvate kinase,,1.7581774441067903,1.7581774441067903,1.7581774441067903,1.7581774441067903
"Aconitase (half-reaction B, Isocitrate hydro-lyase)",,6.007249575350336,6.007249575350336,6.007249575350336,6.007249575350336
CO2 transporter via diffusion,,-22.809833310204976,-22.809833310204976,-22.809833310204976,-22.809833310204976
Cytochrome oxidase bd (ubiquinol-8: 2 protons),,43.59898531199754,43.59898531199754,43.59898531199754,43.59898531199754
L glutamate transport via proton symport  reversible,,0.0,0.0,0.0,0.0
Succinate transport via proton symport (2 H),,0.0,0.0,0.0,0.0
2-Oxoglutarate exchange,,0.0,0.0,0.0,0.0
Succinate dehydrogenase (irreversible),,5.064375661482098,5.064375661482098,5.064375661482098,5.064375661482098
Glutamine synthetase,,0.22346172933182756,0.22346172933182756,0.22346172933182756,0.22346172933182756
D-lactate exchange,,0.0,0.0,0.0,0.0
Glyceraldehyde-3-phosphate dehydrogenase,,16.023526143167604,16.023526143167604,16.023526143167604,16.023526143167604
Acetate exchange,,0.0,0.0,0.0,0.0
Glutamate synthase (NADPH),,0.0,0.0,0.0,0.0
Ribose-5-phosphate isomerase,,-2.281503094067124,-2.281503094067124,-2.281503094067124,-2.281503094067124
Fumarate transport via proton symport (2 H),,0.0,0.0,0.0,0.0
Formate transport in via proton symport,,0.0,0.0,0.0,0.0
L-glutamine transport via ABC system,,0.0,0.0,0.0,0.0
Alcohol dehydrogenase (ethanol),,0.0,0.0,0.0,0.0
Phosphotransacetylase,,0.0,0.0,0.0,0.0
Acetate reversible transport via proton symport,,0.0,0.0,0.0,0.0
Pyruvate exchange,,0.0,0.0,0.0,0.0
Phosphoenolpyruvate carboxylase,,2.50430947036873,2.50430947036873,2.50430947036873,2.50430947036873
Malate synthase,,0.0,0.0,0.0,0.0
NAD transhydrogenase,,0.0,0.0,0.0,0.0
Enolase,,14.716139568742832,14.716139568742832,14.716139568742832,14.716139568742832
Malic enzyme (NADP),,0.0,0.0,0.0,0.0
NAD(P) transhydrogenase,,0.0,0.0,0.0,0.0
Succinyl-CoA synthetase (ADP-forming),,-5.064375661482098,-5.064375661482098,-5.064375661482098,-5.064375661482098
Succinate transport out via proton antiport,,0.0,0.0,0.0,0.0
"Aconitase (half-reaction A, Citrate hydro-lyase)",,6.007249575350336,6.007249575350336,6.007249575350336,6.007249575350336
D-glucose transport via PEP:Pyr PTS,,10.0,10.0,10.0,10.0
L-Glutamine exchange,,0.0,0.0,0.0,0.0
Fumarate reductase,,0.0,0.0,0.0,0.0
D lactate transport via proton symport,,0.0,0.0,0.0,0.0
D-Fructose exchange,,0.0,0.0,0.0,0.0
Fumarate exchange,,0.0,0.0,0.0,0.0
NADH dehydrogenase (ubiquinone-8 & 3 protons),,38.53460965051544,38.53460965051544,38.53460965051544,38.53460965051544
Ribulose 5-phosphate 3-epimerase,,2.678481850507526,2.678481850507526,2.678481850507526,2.678481850507526
Fructose-bisphosphate aldolase,,7.477381962160285,7.477381962160285,7.477381962160285,7.477381962160285
Phosphogluconate dehydrogenase,,4.95998494457465,4.95998494457465,4.95998494457465,4.95998494457465
Transketolase,,1.1814980932459611,1.1814980932459611,1.1814980932459611,1.1814980932459611
Phosphoglycerate mutase,,-14.716139568742832,-14.716139568742832,-14.716139568742832,-14.716139568742832
Malic enzyme (NAD),,0.0,0.0,0.0,0.0
Ethanol exchange,,0.0,0.0,0.0,0.0
Formate exchange,,-0.0,-0.0,-0.0,-0.0
D-Glucose exchange,,-10.0,-10.0,-10.0,-10.0
Phosphate exchange,,-3.2148950476848217,-3.2148950476848217,-3.2148950476848217,-3.2148950476848217
Fructose-bisphosphatase,,0.0,0.0,0.0,0.0
Fumarase,,5.064375661482098,5.064375661482098,5.064375661482098,5.064375661482098
Glucose 6-phosphate dehydrogenase,,4.95998494457465,4.95998494457465,4.95998494457465,4.95998494457465
Phosphoglycerate kinase,,-16.023526143167604,-16.023526143167604,-16.023526143167604,-16.023526143167604
Phosphoenolpyruvate carboxykinase,,0.0,0.0,0.0,0.0
Acetate kinase,,0.0,0.0,0.0,0.0
Adenylate kinase,,0.0,0.0,0.0,0.0
Formate transport via diffusion,,0.0,0.0,0.0,0.0
Ammonia exchange,,-4.765319193197455,-4.765319193197455,-4.765319193197455,-4.765319193197455
Glutaminase,,0.0,0.0,0.0,0.0
Pyruvate dehydrogenase,,9.282532599166622,9.282532599166622,9.282532599166622,9.282532599166622
Acetaldehyde exchange,,0.0,0.0,0.0,0.0
Citrate synthase,,6.007249575350336,6.007249575350336,6.007249575350336,6.007249575350336
Acetaldehyde dehydrogenase (acetylating),,0.0,0.0,0.0,0.0
Malate dehydrogenase,,5.064375661482098,5.064375661482098,5.064375661482098,5.064375661482098
Glucose-6-phosphate isomerase,,4.860861146496822,4.860861146496822,4.860861146496822,4.860861146496822
Fructose transport via PEP:Pyr PTS (f6p generating),,0.0,0.0,0.0,0.0
O2 transport  diffusion ,,21.79949265599877,21.79949265599877,21.79949265599877,21.79949265599877
Malate transport via proton symport (2 H),,0.0,0.0,0.0,0.0
Ammonia reversible transport,,4.765319193197455,4.765319193197455,4.765319193197455,4.765319193197455
Acetaldehyde reversible transport,,0.0,0.0,0.0,0.0
Pyruvate transport in via proton symport,,0.0,0.0,0.0,0.0
2-Oxogluterate dehydrogenase,,5.064375661482098,5.064375661482098,5.064375661482098,5.064375661482098
Ethanol reversible transport via proton symport,,0.0,0.0,0.0,0.0
CO2 exchange,,22.809833310204976,22.809833310204976,22.809833310204976,22.809833310204976
L-Glutamate exchange,,0.0,0.0,0.0,0.0
Triose-phosphate isomerase,,7.477381962160285,7.477381962160285,7.477381962160285,7.477381962160285
2 oxoglutarate reversible transport via symport,,0.0,0.0,0.0,0.0
Pyruvate formate lyase,,0.0,0.0,0.0,0.0
Isocitrate dehydrogenase (NADP),,6.007249575350336,6.007249575350336,6.007249575350336,6.007249575350336
Phosphoenolpyruvate synthase,,0.0,0.0,0.0,0.0
H+ exchange,,17.530865429786644,17.530865429786644,17.530865429786644,17.530865429786644
Phosphate reversible transport via symport,,3.2148950476848217,3.2148950476848217,3.2148950476848217,3.2148950476848217
